,background,body,eyes,head_gear,clothes,held_item,hands,wristband
0,blue,maroon,standard,std_lord,blue_dot,nut,standard,none
1,blue,maroon,standard,std_lord,none,nut,standard,none
2,white,maroon,standard,std_lord,none,nut,standard,none
3,blue,maroon,standard,none,none,nut,standard,yellow
4,white,maroon,standard,none,none,nut,standard,none
5,blue,maroon,standard,none,none,nut,standard,none
6,white,maroon,standard,none,none,nut,standard,yellow
7,white,maroon,standard,none,blue_dot,nut,standard,none
8,blue,maroon,standard,none,blue_dot,nut,standard,yellow
9,white,maroon,standard,none,blue_dot,nut,standard,yellow
10,white,maroon,standard,std_lord,blue_dot,nut,standard,none
11,blue,maroon,standard,std_lord,none,nut,standard,yellow
12,blue,maroon,standard,std_lord,blue_dot,nut,standard,yellow
13,blue,maroon,standard,none,blue_dot,nut,standard,none
14,white,maroon,standard,std_lord,blue_dot,nut,standard,yellow
15,white,maroon,standard,std_lord,none,nut,standard,yellow
